i,j,corr
0,1,0.05411194876347341
0,2,0.006510173482384068
0,3,-0.06573754726930156
0,4,-0.029166821331140822
0,5,0.02392933301861718
0,6,0.04521668978737314
0,7,-0.032676209780788716
0,8,-0.025407616361415496
0,9,0.030292236161966357
0,10,0.09637223135274253
0,11,0.2617664912117415
0,12,0.09625249861742952
0,13,0.024919652652418293
0,14,-0.007287068487595511
0,15,0.022337992316845755
0,16,-0.024028039089377222
0,17,-0.1560911035484415
0,18,-0.1117215645353707
0,19,0.08791613001824448
0,20,0.03292565678918545
0,21,0.02228804605211943
0,22,-0.04146636243623036
0,23,-0.0433698273873416
0,24,-0.04639173685945317
0,25,-0.08455502504217943
0,26,0.003343112617086708
0,27,0.17529214718647426
0,28,-0.03186654572378189
0,29,0.035425500927448145
0,30,-0.04757802042902132
0,31,0.2116892875041314
0,32,0.15827316806642822
0,33,0.005212626319463929
0,34,-0.030774390795167868
0,35,-0.019471518605572582
0,36,0.023859054699363003
0,37,0.04177927743013632
0,38,-0.054844316305496764
0,39,-0.11224084529574041
0,40,0.015785420598631642
0,41,0.11737440620523727
0,42,0.2454966193020446
0,43,0.06476839058207164
0,44,-0.009332420632659284
0,45,0.06997050607253719
0,46,0.016706969582932524
0,47,0.06993886266829111
0,48,0.06977934042614539
0,49,0.08584405503564697
0,50,0.06289332375006482
0,51,-0.0539629271180212
0,52,0.07787990213358263
0,53,0.04573949318443939
0,54,0.09510132168015635
0,55,-0.12202720387698933
0,56,0.07580467064893967
0,57,-0.00013702339469583342
0,58,-0.05085806415727052
0,59,0.07878247571329176
0,60,-0.04417865303706033
0,61,-0.08158103367425631
0,62,-0.047257443217125814
0,63,-0.03151512962601445
1,2,0.0083644217721835
1,3,-0.09175645233413811
1,4,-0.062180105561089154
1,5,-0.15134618890858123
1,6,0.09595102487317086
1,7,-0.012722825554766944
1,8,-0.0992740897882898
1,9,0.028424635513327485
1,10,0.04353460151640137
1,11,-0.09712177910999663
1,12,0.15622870963479385
1,13,0.17371161118021344
1,14,0.020570675956217983
1,15,0.21591424381509683
1,16,0.024557913512983896
1,17,-0.16591370146270157
1,18,0.017242825805770197
1,19,-0.044520565512890034
1,20,0.05525948948875609
1,21,-0.047037599092302845
1,22,0.11065946920675282
1,23,0.0020492962992780224
1,24,0.088975984698505
1,25,-0.07594014640985024
1,26,-0.033314274139500805
1,27,-0.03709770273797843
1,28,-0.12528288099366128
1,29,0.0032356065900065022
1,30,-0.05664720409431728
1,31,-0.08399003659236458
1,32,0.07860684321024045
1,33,-0.02580235932532917
1,34,-0.025902820515735694
1,35,0.0551710680208428
1,36,0.011251310284155377
1,37,-0.011789046841147727
1,38,0.13473102684176225
1,39,0.06116919720187062
1,40,0.030335829902396454
1,41,0.1264920239007222
1,42,-0.04466615517837727
1,43,-0.02660278561919757
1,44,0.2278913192379781
1,45,0.13450835034508704
1,46,0.12368497001704454
1,47,-0.04299314384906915
1,48,0.0794461735500243
1,49,0.05602158792482118
1,50,-0.05031093573790314
1,51,-0.11618255311838921
1,52,0.0880256635639616
1,53,0.08735164091039978
1,54,-0.01229158554532062
1,55,-0.08774429840834504
1,56,0.1683590929370069
1,57,0.00826842031094607
1,58,-0.009996136842748549
1,59,-0.07942178350657635
1,60,-0.21182448575897275
1,61,0.053369424596773865
1,62,0.02996859560425626
1,63,-0.1491040787813131
2,3,0.001977430214929993
2,4,-0.21365182647034697
2,5,0.13676875489672677
2,6,0.09613923873022943
2,7,-0.2548784436793984
2,8,0.08274744415477615
2,9,-0.028133988917336736
2,10,-0.11851647479894337
2,11,0.08966055469989488
2,12,0.002101272660540408
2,13,-0.015236008400423528
2,14,-0.037428501100833754
2,15,0.07351868235417879
2,16,0.031168225318171337
2,17,0.039189821223381376
2,18,-0.32748897805320626
2,19,-0.07108605078991527
2,20,0.01016657138569468
2,21,-0.09753616009175593
2,22,0.10038182945232337
2,23,-0.027516287249006195
2,24,-0.041709433063056814
2,25,0.022069190170054088
2,26,0.1511822684954093
2,27,-0.2568640109697638
2,28,-0.029610789942615484
2,29,-0.050814699382119646
2,30,0.10063188621439245
2,31,0.041053046613575214
2,32,0.01073583767817352
2,33,-0.022064906417132504
2,34,0.10635205291109591
2,35,0.21680331873778536
2,36,-0.07334269111411597
2,37,-0.06166394433709407
2,38,0.012331692758476042
2,39,0.1417753453335171
2,40,0.005856979715028991
